"","Name","City","Type","ID","Grade3.ELA.Level1","Grade3.ELA.Level2","Grade3.ELA.Level3","Grade3.ELA.Level4","Grade3.Math.Level1","Grade3.Math.Level2","Grade3.Math.Level3","Grade3.Math.Level4","Grade4.ELA.Level1","Grade4.ELA.Level2","Grade4.ELA.Level3","Grade4.ELA.Level4","Grade4.Math.Level1","Grade4.Math.Level2","Grade4.Math.Level3","Grade4.Math.Level4","Grade5.ELA.Level1","Grade5.ELA.Level2","Grade5.ELA.Level3","Grade5.ELA.Level4","Grade5.Math.Level1","Grade5.Math.Level2","Grade5.Math.Level3","Grade5.Math.Level4"
"46","Burbank Elem School","Chicago","ELEMENTARY","150162990252102",11.8,48,34.6,5.5,9.4,18,53.1,19.5,3.4,44,43.1,9.5,1.7,19,72.4,6.9,1.6,48.4,44.4,5.6,0,43.4,55.8,0.8
"47","Burke Elem School","Chicago","ELEMENTARY","150162990252103",13.8,27.6,55.2,3.4,13.8,24.1,51.7,10.3,6.5,41.9,38.7,12.9,3.3,46.7,43.3,6.7,0,66.7,30.3,3,0,51.5,45.5,3
"48","Burley Elem School","Chicago","ELEMENTARY","150162990252104",0,14.3,28.6,57.1,2,4,28,66,0,14,40,46,0,6,24,70,0,14.5,40,45.5,0,10.9,58.2,30.9
"49","Burnham Elem Inclusive Academy","Chicago","ELEMENTARY","150162990252105",2.5,7.5,65,25,2.5,5,37.5,55,0,28.1,46.9,25,0,12.5,53.1,34.4,0,32.5,45,22.5,0,15,67.5,17.5
"50","Castellanos Elem School","Chicago","ELEMENTARY","150162990252106",NA,NA,NA,NA,NA,NA,NA,NA,10.4,44.3,40.9,4.3,3.4,30.2,60.3,6,2.9,58.7,33.7,4.8,0,45.2,51.9,2.9
"51","Burnside Elem Scholastic Academy","Chicago","ELEMENTARY","150162990252107",5.7,21.6,52.3,20.5,4.5,18,47.2,30.3,1.3,21.8,62.8,14.1,1.3,21.8,73.1,3.8,0,56.9,34.7,8.3,0,41.7,50,8.3
"52","Burr Elem School","Chicago","ELEMENTARY","150162990252108",3.7,22.2,63,11.1,7.4,11.1,74.1,7.4,0,28.6,64.3,7.1,0,25,64.3,10.7,0,43.8,40.6,15.6,0,25,65.6,9.4
"53","Burroughs Elem School","Chicago","ELEMENTARY","150162990252109",6.9,25.9,55.2,12.1,3.4,15.3,49.2,32.2,0,34.8,56.5,8.7,2.2,10.9,71.7,15.2,0,31.4,58.8,9.8,0,11.8,80.4,7.8
"54","Brunson Math & Sci Specialty Elem","Chicago","ELEMENTARY","150162990252110",17.5,53.4,27.2,1.9,17.5,30.1,44.7,7.8,5.7,58.6,34.3,1.4,2.9,34.3,61.4,1.4,2.5,53.2,36.7,7.6,2.5,26.6,67.1,3.8
"55","Byrne Elem School","Chicago","ELEMENTARY","150162990252112",2.4,14.1,61.2,22.4,4.7,7,57,31.4,1.4,19.4,52.8,26.4,1.4,11.1,65.3,22.2,0,21,56.8,22.2,1.2,11.1,77.8,9.9
"56","Caldwell Elem Acad Of Math & Sci","Chicago","ELEMENTARY","150162990252113",8.7,41.3,45.7,4.3,19.6,19.6,54.3,6.5,5.3,39.5,52.6,2.6,2.6,42.1,50,5.3,7.3,31.7,56.1,4.9,2.4,29.3,65.9,2.4
"57","Calhoun North Elem School","Chicago","ELEMENTARY","150162990252114",10,22.5,42.5,25,5,12.5,47.5,35,0,45,47.5,7.5,0,22,61,17.1,0,28.3,60.9,10.9,0,28.3,65.2,6.5
"58","Cameron Elem School","Chicago","ELEMENTARY","150162990252118",15.4,48.1,31.7,4.8,12.6,28.2,36.9,22.3,11.6,55.8,29.5,3.2,4.2,36.5,52.1,7.3,0,60.4,37.4,2.2,1.1,29,62.4,7.5
"59","Canty Elem School","Chicago","ELEMENTARY","150162990252119",6.7,11.1,51.1,31.1,0,5.3,30.9,63.8,0,25.4,45.8,28.8,0,10,66.7,23.3,0,19.2,47.9,32.9,0,11,63,26
"60","Carnegie Elem School","Chicago","ELEMENTARY","150162990252120",1.2,17.4,57,24.4,1.2,9.3,44.2,45.3,1.3,15.2,53.2,30.4,0,7.6,64.6,27.8,0,19.7,51.3,28.9,0,7.9,73.7,18.4
"61","Carpenter Elem School","Chicago","ELEMENTARY","150162990252121",5.6,44.4,44.4,5.6,5.6,27.8,61.1,5.6,6.1,42.4,39.4,12.1,2.9,23.5,61.8,11.8,0,40,46.7,13.3,0,23.3,70,6.7
"62","Carroll Elem School","Chicago","ELEMENTARY","150162990252122",4.8,36.1,49.4,9.6,6,20.2,60.7,13.1,1.5,50.7,38.8,9,1.5,31.3,64.2,3,1.5,28.8,56.1,13.6,0,25.8,71.2,3
