"","Name","City","Type","ID","Grade3.ELA.Level1","Grade3.ELA.Level2","Grade3.ELA.Level3","Grade3.ELA.Level4","Grade3.Math.Level1","Grade3.Math.Level2","Grade3.Math.Level3","Grade3.Math.Level4","Grade4.ELA.Level1","Grade4.ELA.Level2","Grade4.ELA.Level3","Grade4.ELA.Level4","Grade4.Math.Level1","Grade4.Math.Level2","Grade4.Math.Level3","Grade4.Math.Level4","Grade5.ELA.Level1","Grade5.ELA.Level2","Grade5.ELA.Level3","Grade5.ELA.Level4","Grade5.Math.Level1","Grade5.Math.Level2","Grade5.Math.Level3","Grade5.Math.Level4"
"310","Skinner Elem School","Chicago","ELEMENTARY","150162990252458",0,1.7,19,79.3,0,0,12.1,87.9,0,0,23.2,76.8,0,0,29.3,70.7,0,1.8,25.5,72.7,0,3.6,52.7,43.6
"311","Smyser Elem School","Chicago","ELEMENTARY","150162990252459",6.3,24,47.9,21.9,3.1,12.2,42.9,41.8,3.8,24.8,51.4,20,0,13.1,71,15.9,0,20.2,42.4,37.4,0,6.9,74.3,18.8
"312","Smyth, J Elem School","Chicago","ELEMENTARY","150162990252460",12.5,40.6,39.1,7.8,13.8,24.6,47.7,13.8,1.9,59.6,36.5,1.9,3.9,33.3,54.9,7.8,0,68.1,27.7,4.3,0,40.4,59.6,0
"313","Solomon Elem School","Chicago","ELEMENTARY","150162990252461",3.6,14.3,46.4,35.7,0,7.1,39.3,53.6,0,7.1,39.3,53.6,3.6,0,32.1,64.3,0,28.6,31.4,40,0,14.3,48.6,37.1
"314","Spencer Elem Math & Sci Academy","Chicago","ELEMENTARY","150162990252462",17.2,49.2,32,1.6,20.3,36.6,38.2,4.9,8,44.8,34.5,12.6,8,33.3,44.8,13.8,2.6,50.6,42.9,3.9,0,39,59.7,1.3
"315","Stagg Elem School","Chicago","ELEMENTARY","150162990252464",14.6,39,39,7.3,24.4,28,32.9,14.6,6.8,44.1,45.8,3.4,1.7,37.3,49.2,11.9,0,63,32.6,4.3,0,58.7,41.3,0
"316","Stevenson Elem School","Chicago","ELEMENTARY","150162990252465",5.2,34.3,53,7.5,1.5,25.5,50.4,22.6,1.6,26,48.8,23.6,1.6,6.5,73.4,18.5,0,30.3,56.6,13.2,0.7,16.3,77.1,5.9
"317","Stewart Elem School","Chicago","ELEMENTARY","150162990252466",9.8,51.2,36.6,2.4,19.5,26.8,46.3,7.3,3.4,44.8,44.8,6.9,3.3,30,66.7,0,0,50,31.8,18.2,0,43.5,52.2,4.3
"318","Stone Elem Scholastic Academy","Chicago","ELEMENTARY","150162990252468",1.6,6.5,40.3,51.6,0,0,24.2,75.8,0,15.5,36.2,48.3,0,5.2,55.2,39.7,0,19.8,39.5,40.7,0,9.3,58.1,32.6
"319","Spry Elem Community School","Chicago","ELEMENTARY","150162990252469",15.6,37.8,44.4,2.2,12.2,21.1,51.1,15.6,2,56.1,37.8,4.1,1,28.3,64.6,6.1,2.6,56.4,41,0,0,29.1,67.1,3.8
"320","Stockton Elem School","Chicago","ELEMENTARY","150162990252470",6,24,56,14,0,18,56,26,2.3,36.4,45.5,15.9,0,9.1,70.5,20.5,0,16.7,58.3,25,0,10.8,81.1,8.1
"321","Stowe Elem School","Chicago","ELEMENTARY","150162990252472",19.6,53.3,26.1,1.1,28,24.7,40.9,6.5,5.3,44.2,48.4,2.1,1,38.5,59.4,1,0,66.7,32.1,1.3,0,56.8,40.7,2.5
"322","Sullivan Elem School","Chicago","ELEMENTARY","150162990252474",14.7,39.7,41.2,4.4,11.9,34.3,49.3,4.5,8.7,50,39.1,2.2,2.2,42.2,55.6,0,0,52.9,41.2,5.9,0,52.9,47.1,0
"323","Sumner Elem Math & Sci Comm Acad","Chicago","ELEMENTARY","150162990252475",15.6,25,40.6,18.8,9.4,10.9,48.4,31.3,1.9,46.3,46.3,5.6,0,16.7,77.8,5.6,0,40,55.6,4.4,0,20,73.3,6.7
"324","Sutherland Elem School","Chicago","ELEMENTARY","150162990252476",2,17.6,43.1,37.3,2,8.8,46.1,43.1,0,13.9,48.6,37.5,0,6.9,65.3,27.8,2.3,16.3,37.2,44.2,0,14.3,71.4,14.3
"325","Swift Elem Specialty School","Chicago","ELEMENTARY","150162990252477",8.1,22.6,50,19.4,2.9,7.2,40.6,49.3,3.2,38.1,42.9,15.9,1.5,28.4,47.8,22.4,1.5,22.7,57.6,18.2,0,15.3,69.4,15.3
"326","Talcott Elem School","Chicago","ELEMENTARY","150162990252478",6.8,27.3,52.3,13.6,7,11.6,58.1,23.3,1.7,28.8,55.9,13.6,3.4,12.1,65.5,19,0,22.7,47,30.3,0,27.7,67.7,4.6
"327","Tanner Elem School","Chicago","ELEMENTARY","150162990252479",10.8,49.2,40,0,18.5,23.1,46.2,12.3,9.2,46.2,40,4.6,6.1,36.4,57.6,0,0,68.8,27.1,4.2,6.4,46.8,46.8,0
"328","Taylor Elem School","Chicago","ELEMENTARY","150162990252480",5.3,32,56,6.7,4,12,61.3,22.7,4.5,34.8,48.5,12.1,1.5,18.2,65.2,15.2,0,42,43.5,14.5,0,27.1,62.9,10
"329","Thorp J N Elem School","Chicago","ELEMENTARY","150162990252484",5.6,48.1,42.6,3.7,7.4,22.2,64.8,5.6,4.5,36.4,54.5,4.5,4.5,29.5,59.1,6.8,0,50,40.5,9.5,2.4,47.6,50,0
"330","Thorp O A Elem Scholastic Acad","Chicago","ELEMENTARY","150162990252486",1.2,11.6,43,44.2,0,7,40.7,52.3,0,13,44.6,42.4,0,4.3,54.8,40.9,0,12.8,43.6,43.6,0,11.7,51.1,37.2
"331","Tilton Elem School","Chicago","ELEMENTARY","150162990252487",10.6,34,44.7,10.6,10.6,27.7,36.2,25.5,4.8,54.8,40.5,0,2.4,26.2,61.9,9.5,2.6,56.4,30.8,10.3,2.6,41,56.4,0
"332","Tonti Elem School","Chicago","ELEMENTARY","150162990252488",12.8,51,30.9,5.4,7.4,25.7,53.4,13.5,3.1,48,29.9,18.9,0.8,22.2,59.5,17.5,0,50.8,39.1,10.2,0,32,55.5,12.5
"333","Trumbull Elem School","Chicago","ELEMENTARY","150162990252489",15.8,23.7,57.9,2.6,7.7,28.2,46.2,17.9,0,31.7,53.7,14.6,0,26.8,65.9,7.3,0,36.1,44.4,19.4,0,22.2,69.4,8.3
"334","Twain Elem School","Chicago","ELEMENTARY","150162990252490",0.8,23.3,62.4,13.5,0.8,6,43.6,49.6,0.9,22.8,56.1,20.2,0.9,12.3,68.4,18.4,0,22.2,61.1,16.7,0.9,17.6,75,6.5
"335","Vanderpoel Elem Magnet School","Chicago","ELEMENTARY","150162990252491",3.3,30,50,16.7,3.3,10,53.3,33.3,0,3.3,73.3,23.3,0,3.3,86.7,10,0,22.6,41.9,35.5,0,12.9,83.9,3.2
"336","Lavizzo Elem School","Chicago","ELEMENTARY","150162990252492",12,22,46,20,16.3,18.4,36.7,28.6,1.8,50.9,41.8,5.5,1.8,38.2,52.7,7.3,6.7,70,18.3,5,5,60,35,0
"337","Volta Elem School","Chicago","ELEMENTARY","150162990252494",1,18.8,62.5,17.7,2,4,50.5,43.6,2.5,28.8,58.8,10,1.2,22.6,60.7,15.5,1.4,56.8,29.7,12.2,0,40.5,49.4,10.1
"338","Von Humboldt Elem School","Chicago","ELEMENTARY","150162990252495",13.2,28.9,51.3,6.6,15.6,16.9,57.1,10.4,9.1,56.8,31.8,2.3,11.4,38.6,45.5,4.5,0,63.9,32.8,3.3,0,41.5,55.4,3.1
"339","Wacker Elem School","Chicago","ELEMENTARY","150162990252497",14.3,38.1,38.1,9.5,19,14.3,57.1,9.5,0,41.7,41.7,16.7,0,25,62.5,12.5,0,25,50,25,6.3,25,68.8,0
"340","Wadsworth Elem School","Chicago","ELEMENTARY","150162990252498",13.9,47.2,33.3,5.6,8.3,33.3,47.2,11.1,10.7,35.7,42.9,10.7,0,25,60.7,14.3,2.9,55.9,35.3,5.9,0,58.8,38.2,2.9
"341","Walsh Elem School","Chicago","ELEMENTARY","150162990252500",3.8,30.8,46.2,19.2,5.8,13.5,63.5,17.3,4.4,37.8,53.3,4.4,2.2,22.2,75.6,0,0,49.2,33.9,16.9,0,52.5,42.4,5.1
"342","Ward, J Elem School","Chicago","ELEMENTARY","150162990252501",2.2,15.6,51.1,31.1,2.1,4.3,36.2,57.4,0,17.1,46.3,36.6,0,4.8,42.9,52.4,0,37.1,51.4,11.4,0,8.3,69.4,22.2
"343","Warren Elem School","Chicago","ELEMENTARY","150162990252502",9.8,46.3,41.5,2.4,10.3,23.1,48.7,17.9,0,43.8,50,6.3,0,25,71.9,3.1,0,48.5,42.4,9.1,0,30.3,66.7,3
"344","Washington, G Elem School","Chicago","ELEMENTARY","150162990252503",3.7,17.3,50.6,28.4,0,11.1,27.2,61.7,1.4,15.9,50.7,31.9,0,5.6,62,32.4,1.4,19.4,62.5,16.7,0,5.6,88.9,5.6
"345","Waters Elem School","Chicago","ELEMENTARY","150162990252504",6.5,16.1,58.1,19.4,3.2,19.4,61.3,16.1,0,29,48.4,22.6,3.1,18.8,62.5,15.6,0,48.7,33.3,17.9,0,25.6,61.5,12.8
"346","Webster Elem School","Chicago","ELEMENTARY","150162990252505",6,32,46,16,10,16,52,22,4.9,58.5,34.1,2.4,2.4,53.7,43.9,0,0,58.1,32.3,9.7,0,29,71,0
"347","Wentworth Elem School","Chicago","ELEMENTARY","150162990252506",17.9,41.1,41.1,0,19.6,35.7,41.1,3.6,3.2,48.4,35.5,12.9,6.5,32.3,51.6,9.7,5.1,64.1,30.8,0,0,56.4,43.6,0
"348","Westcott Elem School","Chicago","ELEMENTARY","150162990252507",18.2,42.9,39,0,19.5,20.8,53.2,6.5,0,45.1,49,5.9,5.9,21.6,70.6,2,0,66.1,25,8.9,3.6,57.1,37.5,1.8
"349","West Pullman Elem School","Chicago","ELEMENTARY","150162990252509",20.9,51.2,20.9,7,16.3,30.2,39.5,14,1.9,44.4,46.3,7.4,3.7,24.1,63,9.3,0,62.5,32.5,5,2.5,52.5,40,5
"350","Pritzker Elem School","Chicago","ELEMENTARY","150162990252510",8.6,17.1,34.3,40,10,14.3,34.3,41.4,0,16.7,47,36.4,0,6.1,56.1,37.9,1.3,30.3,31.6,36.8,1.3,35.5,40.8,22.4
"351","Whistler Elem School","Chicago","ELEMENTARY","150162990252512",5.1,46.2,33.3,15.4,10.3,33.3,35.9,20.5,0,42.1,50,7.9,5.3,21.1,65.8,7.9,0,27.5,67.5,5,0,30,70,0
"352","Whitney Elem School","Chicago","ELEMENTARY","150162990252513",9.7,37.6,37.6,15.1,7.5,15.1,53.8,23.7,3.7,35.4,52.4,8.5,0,30.1,63.9,6,0,54.6,40.7,4.6,2.7,37.8,57.7,1.8
"353","Whittier Elem School","Chicago","ELEMENTARY","150162990252514",14,55.8,27.9,2.3,4.7,30.2,53.5,11.6,5.6,55.6,30.6,8.3,5.1,28.2,64.1,2.6,2.4,61.9,33.3,2.4,0,41.9,58.1,0
"354","Wildwood Elem School","Chicago","ELEMENTARY","150162990252516",0,12.5,46.9,40.6,0,0,25,75,0,10.3,31,58.6,0,3.3,66.7,30,0,12.5,68.8,18.8,0,3,69.7,27.3
"355","Woodson South Elem School","Chicago","ELEMENTARY","150162990252521",4.8,47.6,40.5,7.1,14.3,28.6,47.6,9.5,3.3,60,36.7,0,3.3,26.7,60,10,0,52.8,44.4,2.8,0,36.1,61.1,2.8
"356","Yale Elem School","Chicago","ELEMENTARY","150162990252522",23.5,41.2,35.3,0,6.9,34.5,55.2,3.4,3.4,55.2,37.9,3.4,3.4,34.5,62.1,0,0,76.5,17.6,5.9,5.9,47.1,47.1,0
"357","Young Elem School","Chicago","ELEMENTARY","150162990252525",8.4,40.5,43.2,7.9,12.1,26.8,51.1,10,1.9,56.2,35.8,6.2,6.2,44.4,45.7,3.7,2.3,54.5,39.8,3.4,2.3,56.8,40.3,0.6
"358","Yates Elem School","Chicago","ELEMENTARY","150162990252542",12.1,42.4,43.9,1.5,12.9,20,51.4,15.7,5.6,48.6,41.7,4.2,4.1,35.6,50.7,9.6,3.2,49.2,41.3,6.3,1.6,41.3,54,3.2
"359","Dirksen Elem School","Chicago","ELEMENTARY","150162990252603",1.4,35.6,50.7,12.3,0,21.1,51.3,27.6,1.3,34.2,40.8,23.7,0,12.7,54.4,32.9,0,42.4,40.9,16.7,0,10.6,81.8,7.6
"360","DePriest Elem School","Chicago","ELEMENTARY","150162990252605",13.5,51.7,33.7,1.1,21.8,35.6,40.2,2.3,7.8,56.9,33.3,2,6,46,46,2,1.9,44.2,38.5,15.4,0,53.8,46.2,0
"361","Cuffe Math-Sci Tech Elem Academy","Chicago","ELEMENTARY","150162990252617",10.1,14.5,47.8,27.5,8.8,14.7,33.8,42.6,0,17.6,58.8,23.5,0,7.8,72.5,19.6,1.2,20.9,69.8,8.1,1.2,20.9,74.4,3.5
"362","Foster Park Elem School","Chicago","ELEMENTARY","150162990252618",1.7,32.2,49.2,16.9,5.1,10.2,69.5,15.3,5.1,38.5,46.2,10.3,2.6,17.9,69.2,10.3,0,46.8,51.1,2.1,0,38.3,57.4,4.3
"363","Hughes, L Elem School","Chicago","ELEMENTARY","150162990252620",10.7,32.1,39.3,17.9,10.7,32.1,53.6,3.6,2.9,47.1,50,0,14.7,23.5,61.8,0,0,64.5,35.5,0,0,71,29,0
"364","Grissom Elem School","Chicago","ELEMENTARY","150162990252622",10.7,21.4,28.6,39.3,3.8,19.2,26.9,50,0,20.7,65.5,13.8,0,6.9,79.3,13.8,0,33.3,39.4,27.3,0,15.2,78.8,6.1
"365","McNair Elem School","Chicago","ELEMENTARY","150162990252634",15.7,47.1,34.3,2.9,12.9,21.4,54.3,11.4,3.7,59.3,33.3,3.7,3.7,40.7,51.9,3.7,1.9,67.9,20.8,9.4,3.8,58.5,35.8,1.9
"366","Hay Elem Community Academy","Chicago","ELEMENTARY","150162990252636",9.1,39.8,44.3,6.8,13.6,15.9,51.1,19.3,4.6,38.5,44.6,12.3,3.1,21.5,63.1,12.3,3.2,58.1,30.6,8.1,0,45.2,54.8,0
"367","Cullen Elem School","Chicago","ELEMENTARY","150162990252637",0,24.3,62.2,13.5,0,13.5,62.2,24.3,0,37.1,60,2.9,0,22.9,71.4,5.7,0,36.6,53.7,9.8,2.4,19.5,70.7,7.3
"368","Clark G R Elem School","Chicago","ELEMENTARY","150162990252700",2.9,17.6,58.8,20.6,2.9,17.6,47.1,32.4,0,20.8,66.7,12.5,0,8.3,75,16.7,0,61.8,32.4,5.9,0,20.6,79.4,0
"369","Lee Elem School","Chicago","ELEMENTARY","150162990252703",10.6,43.9,37.9,7.6,5.3,21.8,55.6,17.3,2.6,34.8,53.9,8.7,3.4,11,77.1,8.5,3,48,43,6,2,22.8,70.3,5
"370","Copernicus Elem School","Chicago","ELEMENTARY","150162990252704",11.4,51.4,37.1,0,22.9,31.4,45.7,0,0,64.3,32.1,3.6,0,46.4,53.6,0,8.3,61.1,25,5.6,0,58.3,41.7,0
"371","Salazar Elem Bilingual Center","Chicago","ELEMENTARY","150162990252706",4.1,42.9,38.8,14.3,6.1,12.2,53.1,28.6,2.6,20.5,59,17.9,0,12.8,74.4,12.8,0,48.3,41.4,10.3,0,31,69,0
"372","Leland Elem School","Chicago","ELEMENTARY","150162990252714",12,4,36,48,12,4,36,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"373","Robinson Elem School","Chicago","ELEMENTARY","150162990252724",7.5,45,45,2.5,7.7,30.8,51.3,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"374","Hanson Park Elem School","Chicago","ELEMENTARY","150162990252726",3.7,41.9,44.1,10.3,6.5,14.4,61.2,18,2.8,48.3,40.6,8.4,0.7,27.1,59,13.2,0.6,35.8,52.2,11.3,0,30.6,66.3,3.1
"375","White Elem Career Academy","Chicago","ELEMENTARY","150162990252729",10,53.3,36.7,0,16.7,30,46.7,6.7,6.9,48.3,37.9,6.9,7.4,51.9,37,3.7,5.6,66.7,22.2,5.6,0,66.7,33.3,0
"376","McDowell Elem School","Chicago","ELEMENTARY","150162990252737",8.3,20.8,45.8,25,4.2,12.5,33.3,50,0,24,32,44,4.2,8.3,79.2,8.3,0,38.5,46.2,15.4,0,30.8,65.4,3.8
"377","Keller Elem Gifted Magnet School","Chicago","ELEMENTARY","150162990252739",0,0,3.6,96.4,0,0,3.6,96.4,0,0,6.9,93.1,0,0,13.8,86.2,0,0,3.2,96.8,0,0,22.6,77.4
"378","Earhart Elem Opt For Knowl School","Chicago","ELEMENTARY","150162990252743",0,21.2,48.5,30.3,3,12.1,54.5,30.3,0,15.2,48.5,36.4,0,3,69.7,27.3,0,14.3,62.9,22.9,0,11.4,77.1,11.4
"379","Till Elem Math & Science Academy","Chicago","ELEMENTARY","150162990252766",12.9,44.7,35.3,7.1,14.3,25,56,4.8,4.2,42.3,50.7,2.8,0,31.9,63.9,4.2,1.4,53.6,39.1,5.8,2.9,55.1,40.6,1.4
"380","Ward, L Elem School","Chicago","ELEMENTARY","150162990252767",2.4,16.7,66.7,14.3,4.8,4.8,66.7,23.8,0,26.1,56.5,17.4,0,10.6,68.1,21.3,4.1,55.1,34.7,6.1,2.1,35.4,56.3,6.3
"381","Smith W Elem School","Chicago","ELEMENTARY","150162990252768",10,48,38,4,8,34,50,8,6.3,47.9,41.7,4.2,0,35.4,60.4,4.2,2.3,50,38.6,9.1,4.5,25,68.2,2.3
"382","Bontemps Elem School","Chicago","ELEMENTARY","150162990252771",13.3,37.8,35.6,13.3,15.6,20,37.8,26.7,2.9,42.9,51.4,2.9,0,22.9,74.3,2.9,0,53.3,43.3,3.3,0,51.7,48.3,0
"383","Garvey, M Elem School","Chicago","ELEMENTARY","150162990252773",4.7,23.3,37.2,34.9,4.7,9.3,46.5,39.5,0,15,60,25,2.5,7.5,75,15,1.9,39.6,39.6,18.9,0,34,60.4,5.7
"384","Joplin Elem School","Chicago","ELEMENTARY","150162990252775",7.8,41.6,41.6,9.1,15.8,22.4,50,11.8,3.8,32.7,51.9,11.5,1.9,25,73.1,0,0,51.5,39.7,8.8,1.5,29.4,66.2,2.9
"385","Cardenas Elem School","Chicago","ELEMENTARY","150162990252783",9.4,41.6,40.9,8.1,6,16.1,52.3,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"386","Powell Elem Paideia Comm Academy","Chicago","ELEMENTARY","150162990252785",10.8,29.2,52.3,7.7,10.6,22.7,42.4,24.2,4,41.3,45.3,9.3,1.3,24,68,6.7,1.7,44.1,44.1,10.2,1.7,33.9,62.7,1.7
"387","Curtis Elem School","Chicago","ELEMENTARY","150162990252799",13.5,73.1,13.5,0,17,35.8,43.4,3.8,2.1,68.8,22.9,6.3,10.4,31.3,54.2,4.2,4.9,56.1,34.1,4.9,2.4,39,56.1,2.4
"388","Beasley Elem Magnet Academic Ctr","Chicago","ELEMENTARY","150162990252800",2.6,24.2,54.2,19,2,17.6,57.5,22.9,0,27,49.3,23.6,0.7,16.9,62.8,19.6,0,18.5,55.4,26.1,0.6,21.7,73.2,4.5
"389","Mays Elem Academy","Chicago","ELEMENTARY","150162990252802",8.6,28.6,62.9,0,11.4,0,62.9,25.7,0,69.8,25.6,4.7,4.7,34.9,58.1,2.3,0,44,44,12,0,8,84,8
"390","Metcalfe Elem Community Academy","Chicago","ELEMENTARY","150162990252804",9,37.2,44.9,9,10.3,26.9,41,21.8,8.5,36.6,46.5,8.5,1.4,23.9,69,5.6,1.2,40.2,50,8.5,1.2,30.5,63.4,4.9
"391","Decatur Classical Elem School","Chicago","ELEMENTARY","150162990252805",0,0,3.7,96.3,0,0,0,100,0,0,3.4,96.6,0,0,10.3,89.7,0,0,7.3,92.7,0,0,18.2,81.8
"392","Kanoon Elem Magnet School","Chicago","ELEMENTARY","150162990252806",11.3,56.3,26.3,6.3,11.1,32.1,50.6,6.2,8.2,54.1,36.1,1.6,4.8,27.4,64.5,3.2,4.2,50,38.9,6.9,0,38.9,58.3,2.8
"393","Randolph Elem School","Chicago","ELEMENTARY","150162990252807",9.1,42.9,41.6,6.5,13,27.3,40.3,19.5,4.1,53.4,28.8,13.7,2.7,38.4,43.8,15.1,0,53.4,42.5,4.1,1.4,32.9,58.9,6.8
"394","Poe Elem Classical School","Chicago","ELEMENTARY","150162990252809",0,0,11.5,88.5,0,0,0,100,0,0,31,69,0,0,44.8,55.2,0,0,41.4,58.6,0,0,62.1,37.9
"395","Owens Elem Community Academy","Chicago","ELEMENTARY","150162990252810",9.1,38.2,33.6,19.1,9.1,33.6,39.1,18.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"396","Gunsaulus Elem Scholastic Academy","Chicago","ELEMENTARY","150162990252811",6,36.9,45.2,11.9,6,20.2,54.8,19,0,33.3,52.6,14,1.6,13.1,72.1,13.1,1.1,23.6,58.4,16.9,0,15.7,77.5,6.7
"397","Goodlow Elem Magnet School","Chicago","ELEMENTARY","150162990252812",6.1,44.9,42.9,6.1,2,28.6,57.1,12.2,0,47.1,43.1,9.8,3.9,35.3,54.9,5.9,2.1,52.1,39.6,6.3,0,56.3,39.6,4.2
"398","Ninos Heroes Elem Academic Ctr","Chicago","ELEMENTARY","150162990252823",7.7,41.5,44.6,6.2,9.2,27.7,47.7,15.4,2.6,48.7,46.2,2.6,6.4,19.2,73.1,1.3,1.6,50.8,42.6,4.9,0,31.1,67.2,1.6
"399","De Diego Elem Community Academy","Chicago","ELEMENTARY","150162990252825",5.1,29.6,50,15.3,9.2,18.4,53.1,19.4,2.9,33.3,50,13.7,2.9,25.5,64.7,6.9,2.2,44.6,34.8,18.5,0,22.6,69.9,7.5
"400","Turner-Drew Elem Language Academy","Chicago","ELEMENTARY","150162990252826",3.3,23.3,60,13.3,0,6.7,53.3,40,0,29.1,52.7,18.2,0,10.9,69.1,20,0,20.4,63,16.7,0,10.9,85.5,3.6
"401","Sabin Elem Magnet School","Chicago","ELEMENTARY","150162990252828",4.2,36.6,46.5,12.7,8.2,19.2,58.9,13.7,2.9,42.9,40,14.3,4.2,28.2,60.6,7,3,45.5,43.9,7.6,1.5,35.8,56.7,6
"402","Saucedo Elem Scholastic Academy","Chicago","ELEMENTARY","150162990252829",5.2,38.8,50.7,5.2,5.2,21.6,60.4,12.7,0,29.1,47,23.9,0,12.8,71.8,15.4,0.8,26.4,60.3,12.4,0,30.9,68.1,1.1
"403","Daley Elem Academy","Chicago","ELEMENTARY","150162990252837",25,57,15,3,18.8,24.8,46.5,9.9,7.8,61,31.2,0,2.6,44.2,53.2,0,2.1,58.8,36.1,3.1,0,38.1,59.8,2.1
"404","Madero Middle School","Chicago","ELEMENTARY","150162990252838",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"405","Orozco Elem Fine Arts & Sciences","Chicago","ELEMENTARY","150162990252842",0,3.4,55.2,41.4,0,0,37.9,62.1,0,0,53.6,46.4,0,0,25.9,74.1,0,0,63.3,36.7,0,0,66.7,33.3
"406","Morton Elem Career Academy","Chicago","ELEMENTARY","150162990252844",36,56,8,0,12,60,24,4,7.1,71.4,17.9,3.6,7.4,29.6,55.6,7.4,2.9,65.7,31.4,0,2.9,51.4,45.7,0
"407","Canter Middle School","Chicago","ELEMENTARY","150162990252845",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"408","Albany Park Multicultural Elem","Chicago","ELEMENTARY","150162990252850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"409","De La Cruz Elem Math & Sci Spec","Chicago","ELEMENTARY","150162990252854",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"410","South Loop Elem School","Chicago","ELEMENTARY","150162990252855",0,5.8,28.8,65.4,0,3.8,36.5,59.6,0,3.6,43.6,52.7,0,0,52.7,47.3,0,13,32.6,54.3,0,10.9,50,39.1
"411","Lenart Elem Regional Gifted Ctr","Chicago","ELEMENTARY","150162990252856",0,0,0,100,0,0,3.1,96.9,0,0,12.9,87.1,0,0,16.1,83.9,0,0,11.8,88.2,0,0,55.9,44.1
"412","Casals Elem School","Chicago","ELEMENTARY","150162990252862",10.9,54.5,34.5,0,3.4,20.7,60.3,15.5,0,53.8,42.3,3.8,1.8,25.5,67.3,5.5,6.3,45.8,37.5,10.4,0,20.8,77.1,2.1
"413","Perez Elem School","Chicago","ELEMENTARY","150162990252864",6.8,45.5,40.9,6.8,0,15.9,70.5,13.6,2.3,52.3,40.9,4.5,2.2,15.6,82.2,0,3.8,44.2,42.3,9.6,0,48.1,46.2,5.8
"414","Ruiz Elem School","Chicago","ELEMENTARY","150162990252867",4.6,41.4,41.4,12.6,2.2,31.1,46.7,20,2.2,39.6,51.6,6.6,1.1,21.3,71.3,6.4,0,51.4,34.7,13.9,0,40.5,58.1,1.4
"415","Roque De Duprey Elem School","Chicago","ELEMENTARY","150162990252869",16,42,28,14,9.4,22.6,47.2,20.8,3,51.5,39.4,6.1,0,34.3,60,5.7,3,57.6,36.4,3,0,50,47.4,2.6
"416","Brighton Park Elem School","Chicago","ELEMENTARY","150162990252870",10,36.4,36.4,17.3,10.9,27.3,37.3,24.5,2,50.5,40.4,7.1,1,25.3,70.7,3,0,42,44.4,13.6,0,19.5,75.6,4.9
"417","Evergreen Academy Elem School","Chicago","ELEMENTARY","150162990252873",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"418","Carson Elem School","Chicago","ELEMENTARY","150162990252876",4.2,40.6,46.2,9.1,3.5,14.7,51.7,30.1,3.9,32,47.7,16.4,1.6,15.5,67.4,15.5,0.9,33.6,49.5,15.9,0.9,17.4,63.3,18.3
"419","McAuliffe Elem School","Chicago","ELEMENTARY","150162990252877",12,32.5,47,8.5,8.5,25.4,44.9,21.2,3.3,51.1,41.3,4.3,5.4,24.7,64.5,5.4,1.9,35.6,50,12.5,0,25.7,63.8,10.5
"420","Galileo Elem Math & Sci Schol Acd","Chicago","ELEMENTARY","150162990252878",0,3.1,66.2,30.8,1.5,0,30.8,67.7,0,26.1,52.2,21.7,0,11.6,68.1,20.3,0,26.7,60,13.3,0,10,86.7,3.3
"421","Logandale Middle School","Chicago","ELEMENTARY","150162990252881",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"422","Marshall Middle School","Chicago","ELEMENTARY","150162990252882",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"423","Chavez Elem Multicultural Acad Ct","Chicago","ELEMENTARY","150162990252886",4.7,40.7,48.8,5.8,2.3,18.6,58.1,20.9,6.4,48.7,37.2,7.7,3.8,32.9,55.7,7.6,0,60.9,34.5,4.6,0,31.8,64.8,3.4
"424","Jordan Elem Community School","Chicago","ELEMENTARY","150162990252889",8,33.3,44,14.7,8.8,15,43.8,32.5,6.6,55.3,35.5,2.6,1.3,35.5,57.9,5.3,0,50,41.2,8.8,1.4,37.7,59.4,1.4
"425","Foundations Elem School","Chicago","ELEMENTARY","150162990252891",0,23.1,42.3,34.6,0,0,57.7,42.3,20,20,50,10,10,40,30,20,NA,NA,NA,NA,NA,NA,NA,NA
